,artifact,prop,prop_mean
0,artifact0,300,300
1,artifact1,301,301
10,artifact10,310,310
100,artifact100,400,400
101,artifact101,401,401
102,artifact102,402,402
103,artifact103,403,403
104,artifact104,404,404
105,artifact105,405,405
106,artifact106,406,406
107,artifact107,407,407
108,artifact108,408,408
109,artifact109,409,409
11,artifact11,311,311
110,artifact110,410,410
111,artifact111,411,411
112,artifact112,412,412
113,artifact113,413,413
114,artifact114,414,414
115,artifact115,415,415
116,artifact116,416,416
117,artifact117,417,417
118,artifact118,418,418
119,artifact119,419,419
12,artifact12,312,312
120,artifact120,420,420
121,artifact121,421,421
122,artifact122,422,422
123,artifact123,423,423
124,artifact124,424,424
125,artifact125,425,425
126,artifact126,426,426
127,artifact127,427,427
128,artifact128,428,428
129,artifact129,429,429
13,artifact13,313,313
130,artifact130,430,430
131,artifact131,431,431
132,artifact132,432,432
133,artifact133,433,433
134,artifact134,434,434
135,artifact135,435,435
136,artifact136,436,436
137,artifact137,437,437
138,artifact138,438,438
139,artifact139,439,439
14,artifact14,314,314
140,artifact140,440,440
141,artifact141,441,441
142,artifact142,442,442
143,artifact143,443,443
144,artifact144,444,444
145,artifact145,445,445
146,artifact146,446,446
147,artifact147,447,447
148,artifact148,448,448
149,artifact149,449,449
15,artifact15,315,315
150,artifact150,450,450
151,artifact151,451,451
152,artifact152,452,452
153,artifact153,453,453
154,artifact154,454,454
155,artifact155,455,455
156,artifact156,456,456
157,artifact157,457,457
158,artifact158,458,458
159,artifact159,459,459
16,artifact16,316,316
160,artifact160,460,460
161,artifact161,461,461
162,artifact162,462,462
163,artifact163,463,463
164,artifact164,464,464
165,artifact165,465,465
166,artifact166,466,466
167,artifact167,467,467
168,artifact168,468,468
169,artifact169,469,469
17,artifact17,317,317
170,artifact170,470,470
171,artifact171,471,471
172,artifact172,472,472
173,artifact173,473,473
174,artifact174,474,474
175,artifact175,475,475
176,artifact176,476,476
177,artifact177,477,477
178,artifact178,478,478
179,artifact179,479,479
18,artifact18,318,318
180,artifact180,480,480
181,artifact181,481,481
182,artifact182,482,482
183,artifact183,483,483
184,artifact184,484,484
185,artifact185,485,485
186,artifact186,486,486
187,artifact187,487,487
188,artifact188,488,488
189,artifact189,489,489
19,artifact19,319,319
190,artifact190,490,490
191,artifact191,491,491
192,artifact192,492,492
193,artifact193,493,493
194,artifact194,494,494
195,artifact195,495,495
196,artifact196,496,496
197,artifact197,497,497
198,artifact198,498,498
199,artifact199,499,499
2,artifact2,302,302
20,artifact20,320,320
200,artifact200,500,500
201,artifact201,501,501
202,artifact202,502,502
203,artifact203,503,503
204,artifact204,504,504
205,artifact205,505,505
206,artifact206,506,506
207,artifact207,507,507
208,artifact208,508,508
209,artifact209,509,509
21,artifact21,321,321
210,artifact210,510,510
211,artifact211,511,511
212,artifact212,512,512
213,artifact213,513,513
214,artifact214,514,514
215,artifact215,515,515
216,artifact216,516,516
217,artifact217,517,517
218,artifact218,518,518
219,artifact219,519,519
22,artifact22,322,322
220,artifact220,520,520
221,artifact221,521,521
222,artifact222,522,522
223,artifact223,523,523
224,artifact224,524,524
225,artifact225,525,525
226,artifact226,526,526
227,artifact227,527,527
228,artifact228,528,528
229,artifact229,529,529
23,artifact23,323,323
230,artifact230,530,530
231,artifact231,531,531
232,artifact232,532,532
233,artifact233,533,533
234,artifact234,534,534
235,artifact235,535,535
236,artifact236,536,536
237,artifact237,537,537
238,artifact238,538,538
239,artifact239,539,539
24,artifact24,324,324
240,artifact240,540,540
241,artifact241,541,541
242,artifact242,542,542
243,artifact243,543,543
244,artifact244,544,544
245,artifact245,545,545
246,artifact246,546,546
247,artifact247,547,547
248,artifact248,548,548
249,artifact249,549,549
25,artifact25,325,325
250,artifact250,550,550
251,artifact251,551,551
252,artifact252,552,552
253,artifact253,553,553
254,artifact254,554,554
255,artifact255,555,555
256,artifact256,556,556
257,artifact257,557,557
258,artifact258,558,558
259,artifact259,559,559
26,artifact26,326,326
260,artifact260,560,560
261,artifact261,561,561
262,artifact262,562,562
263,artifact263,563,563
264,artifact264,564,564
265,artifact265,565,565
266,artifact266,566,566
267,artifact267,567,567
268,artifact268,568,568
269,artifact269,569,569
27,artifact27,327,327
270,artifact270,570,570
271,artifact271,571,571
272,artifact272,572,572
273,artifact273,573,573
274,artifact274,574,574
275,artifact275,575,575
276,artifact276,576,576
277,artifact277,577,577
278,artifact278,578,578
279,artifact279,579,579
28,artifact28,328,328
280,artifact280,580,580
281,artifact281,581,581
282,artifact282,582,582
283,artifact283,583,583
284,artifact284,584,584
285,artifact285,585,585
286,artifact286,586,586
287,artifact287,587,587
288,artifact288,588,588
289,artifact289,589,589
29,artifact29,329,329
290,artifact290,590,590
291,artifact291,591,591
292,artifact292,592,592
293,artifact293,593,593
294,artifact294,594,594
295,artifact295,595,595
296,artifact296,596,596
297,artifact297,597,597
298,artifact298,598,598
299,artifact299,599,599
3,artifact3,303,303
30,artifact30,330,330
300,artifact300,600,600
301,artifact301,601,601
302,artifact302,602,602
303,artifact303,603,603
304,artifact304,604,604
305,artifact305,605,605
306,artifact306,606,606
307,artifact307,607,607
308,artifact308,608,608
309,artifact309,609,609
31,artifact31,331,331
310,artifact310,610,610
311,artifact311,611,611
312,artifact312,612,612
313,artifact313,613,613
314,artifact314,614,614
315,artifact315,615,615
316,artifact316,616,616
317,artifact317,617,617
318,artifact318,618,618
319,artifact319,619,619
32,artifact32,332,332
320,artifact320,620,620
321,artifact321,621,621
322,artifact322,622,622
323,artifact323,623,623
324,artifact324,624,624
325,artifact325,625,625
326,artifact326,626,626
327,artifact327,627,627
328,artifact328,628,628
329,artifact329,629,629
33,artifact33,333,333
330,artifact330,630,630
331,artifact331,631,631
332,artifact332,632,632
333,artifact333,633,633
334,artifact334,634,634
335,artifact335,635,635
336,artifact336,636,636
337,artifact337,637,637
338,artifact338,638,638
339,artifact339,639,639
34,artifact34,334,334
340,artifact340,640,640
341,artifact341,641,641
342,artifact342,642,642
343,artifact343,643,643
344,artifact344,644,644
345,artifact345,645,645
346,artifact346,646,646
347,artifact347,647,647
348,artifact348,648,648
349,artifact349,649,649
35,artifact35,335,335
350,artifact350,650,650
351,artifact351,651,651
352,artifact352,652,652
353,artifact353,653,653
354,artifact354,654,654
355,artifact355,655,655
356,artifact356,656,656
357,artifact357,657,657
358,artifact358,658,658
359,artifact359,659,659
36,artifact36,336,336
360,artifact360,660,660
361,artifact361,661,661
362,artifact362,662,662
363,artifact363,663,663
364,artifact364,664,664
365,artifact365,665,665
366,artifact366,666,666
367,artifact367,667,667
368,artifact368,668,668
369,artifact369,669,669
37,artifact37,337,337
370,artifact370,670,670
371,artifact371,671,671
372,artifact372,672,672
373,artifact373,673,673
374,artifact374,674,674
375,artifact375,675,675
376,artifact376,676,676
377,artifact377,677,677
378,artifact378,678,678
379,artifact379,679,679
38,artifact38,338,338
380,artifact380,680,680
381,artifact381,681,681
382,artifact382,682,682
383,artifact383,683,683
384,artifact384,684,684
385,artifact385,685,685
386,artifact386,686,686
387,artifact387,687,687
388,artifact388,688,688
389,artifact389,689,689
39,artifact39,339,339
390,artifact390,690,690
391,artifact391,691,691
392,artifact392,692,692
393,artifact393,693,693
394,artifact394,694,694
395,artifact395,695,695
396,artifact396,696,696
397,artifact397,697,697
398,artifact398,698,698
399,artifact399,699,699
4,artifact4,304,304
40,artifact40,340,340
400,artifact400,700,700
401,artifact401,701,701
402,artifact402,702,702
403,artifact403,703,703
404,artifact404,704,704
405,artifact405,705,705
406,artifact406,706,706
407,artifact407,707,707
408,artifact408,708,708
409,artifact409,709,709
41,artifact41,341,341
410,artifact410,710,710
411,artifact411,711,711
412,artifact412,712,712
413,artifact413,713,713
414,artifact414,714,714
415,artifact415,715,715
416,artifact416,716,716
417,artifact417,717,717
418,artifact418,718,718
419,artifact419,719,719
42,artifact42,342,342
420,artifact420,720,720
421,artifact421,721,721
422,artifact422,722,722
423,artifact423,723,723
424,artifact424,724,724
425,artifact425,725,725
426,artifact426,726,726
427,artifact427,727,727
428,artifact428,728,728
429,artifact429,729,729
43,artifact43,343,343
430,artifact430,730,730
431,artifact431,731,731
432,artifact432,732,732
433,artifact433,733,733
434,artifact434,734,734
435,artifact435,735,735
436,artifact436,736,736
437,artifact437,737,737
438,artifact438,738,738
439,artifact439,739,739
44,artifact44,344,344
440,artifact440,740,740
441,artifact441,741,741
442,artifact442,742,742
443,artifact443,743,743
444,artifact444,744,744
445,artifact445,745,745
446,artifact446,746,746
447,artifact447,747,747
448,artifact448,748,748
449,artifact449,749,749
45,artifact45,345,345
450,artifact450,750,750
451,artifact451,751,751
452,artifact452,752,752
453,artifact453,753,753
454,artifact454,754,754
455,artifact455,755,755
456,artifact456,756,756
457,artifact457,757,757
458,artifact458,758,758
459,artifact459,759,759
46,artifact46,346,346
460,artifact460,760,760
461,artifact461,761,761
462,artifact462,762,762
463,artifact463,763,763
464,artifact464,764,764
465,artifact465,765,765
466,artifact466,766,766
467,artifact467,767,767
468,artifact468,768,768
469,artifact469,769,769
47,artifact47,347,347
470,artifact470,770,770
471,artifact471,771,771
472,artifact472,772,772
473,artifact473,773,773
474,artifact474,774,774
475,artifact475,775,775
476,artifact476,776,776
477,artifact477,777,777
478,artifact478,778,778
479,artifact479,779,779
48,artifact48,348,348
480,artifact480,780,780
481,artifact481,781,781
482,artifact482,782,782
483,artifact483,783,783
484,artifact484,784,784
485,artifact485,785,785
486,artifact486,786,786
487,artifact487,787,787
488,artifact488,788,788
489,artifact489,789,789
49,artifact49,349,349
490,artifact490,790,790
491,artifact491,791,791
492,artifact492,792,792
493,artifact493,793,793
494,artifact494,794,794
495,artifact495,795,795
496,artifact496,796,796
497,artifact497,797,797
498,artifact498,798,798
499,artifact499,799,799
5,artifact5,305,305
50,artifact50,350,350
500,artifact500,800,800
501,artifact501,801,801
502,artifact502,802,802
503,artifact503,803,803
504,artifact504,804,804
505,artifact505,805,805
506,artifact506,806,806
507,artifact507,807,807
508,artifact508,808,808
509,artifact509,809,809
51,artifact51,351,351
510,artifact510,810,810
511,artifact511,811,811
512,artifact512,812,812
513,artifact513,813,813
514,artifact514,814,814
515,artifact515,815,815
516,artifact516,816,816
517,artifact517,817,817
518,artifact518,818,818
519,artifact519,819,819
52,artifact52,352,352
520,artifact520,820,820
521,artifact521,821,821
522,artifact522,822,822
523,artifact523,823,823
524,artifact524,824,824
525,artifact525,825,825
526,artifact526,826,826
527,artifact527,827,827
528,artifact528,828,828
529,artifact529,829,829
53,artifact53,353,353
530,artifact530,830,830
531,artifact531,831,831
532,artifact532,832,832
533,artifact533,833,833
534,artifact534,834,834
535,artifact535,835,835
536,artifact536,836,836
537,artifact537,837,837
538,artifact538,838,838
539,artifact539,839,839
54,artifact54,354,354
540,artifact540,840,840
541,artifact541,841,841
542,artifact542,842,842
