,artifact,prop,node_id
0,artifact0,300,node1
1,artifact1,301,node1
2,artifact2,302,node1
3,artifact3,303,node1
4,artifact4,304,node1
5,artifact5,305,node1
6,artifact6,306,node1
7,artifact7,307,node1
8,artifact8,308,node1
9,artifact9,309,node1
10,artifact10,310,node1
11,artifact11,311,node1
12,artifact12,312,node1
13,artifact13,313,node1
14,artifact14,314,node1
15,artifact15,315,node1
16,artifact16,316,node1
17,artifact17,317,node1
18,artifact18,318,node1
19,artifact19,319,node1
20,artifact20,320,node1
21,artifact21,321,node1
22,artifact22,322,node1
23,artifact23,323,node1
24,artifact24,324,node1
25,artifact25,325,node1
26,artifact26,326,node1
27,artifact27,327,node1
28,artifact28,328,node1
29,artifact29,329,node1
30,artifact30,330,node1
31,artifact31,331,node1
32,artifact32,332,node1
33,artifact33,333,node1
34,artifact34,334,node1
35,artifact35,335,node1
36,artifact36,336,node1
37,artifact37,337,node1
38,artifact38,338,node1
39,artifact39,339,node1
40,artifact40,340,node1
41,artifact41,341,node1
42,artifact42,342,node1
43,artifact43,343,node1
44,artifact44,344,node1
45,artifact45,345,node1
46,artifact46,346,node1
47,artifact47,347,node1
48,artifact48,348,node1
49,artifact49,349,node1
50,artifact50,350,node1
51,artifact51,351,node1
52,artifact52,352,node1
53,artifact53,353,node1
54,artifact54,354,node1
55,artifact55,355,node1
56,artifact56,356,node1
57,artifact57,357,node1
58,artifact58,358,node1
59,artifact59,359,node1
60,artifact60,360,node1
61,artifact61,361,node1
62,artifact62,362,node1
63,artifact63,363,node1
64,artifact64,364,node1
65,artifact65,365,node1
66,artifact66,366,node1
67,artifact67,367,node1
68,artifact68,368,node1
69,artifact69,369,node1
70,artifact70,370,node1
71,artifact71,371,node1
72,artifact72,372,node1
73,artifact73,373,node1
74,artifact74,374,node1
75,artifact75,375,node1
76,artifact76,376,node1
77,artifact77,377,node1
78,artifact78,378,node1
79,artifact79,379,node1
80,artifact80,380,node1
81,artifact81,381,node1
82,artifact82,382,node1
83,artifact83,383,node1
84,artifact84,384,node1
85,artifact85,385,node1
86,artifact86,386,node1
87,artifact87,387,node1
88,artifact88,388,node1
89,artifact89,389,node1
90,artifact90,390,node1
91,artifact91,391,node1
92,artifact92,392,node1
93,artifact93,393,node1
94,artifact94,394,node1
95,artifact95,395,node1
96,artifact96,396,node1
97,artifact97,397,node1
98,artifact98,398,node1
99,artifact99,399,node1
100,artifact100,400,node1
101,artifact101,401,node1
102,artifact102,402,node1
103,artifact103,403,node1
104,artifact104,404,node1
105,artifact105,405,node1
106,artifact106,406,node1
107,artifact107,407,node1
108,artifact108,408,node1
109,artifact109,409,node1
110,artifact110,410,node1
111,artifact111,411,node1
112,artifact112,412,node1
113,artifact113,413,node1
114,artifact114,414,node1
115,artifact115,415,node1
116,artifact116,416,node1
117,artifact117,417,node1
118,artifact118,418,node1
119,artifact119,419,node1
120,artifact120,420,node1
121,artifact121,421,node1
122,artifact122,422,node1
123,artifact123,423,node1
124,artifact124,424,node1
125,artifact125,425,node1
126,artifact126,426,node1
127,artifact127,427,node1
128,artifact128,428,node1
129,artifact129,429,node1
130,artifact130,430,node1
131,artifact131,431,node1
132,artifact132,432,node1
133,artifact133,433,node1
134,artifact134,434,node1
135,artifact135,435,node1
136,artifact136,436,node1
137,artifact137,437,node1
138,artifact138,438,node1
139,artifact139,439,node1
140,artifact140,440,node1
141,artifact141,441,node1
142,artifact142,442,node1
143,artifact143,443,node1
144,artifact144,444,node1
145,artifact145,445,node1
146,artifact146,446,node1
147,artifact147,447,node1
148,artifact148,448,node1
149,artifact149,449,node1
150,artifact150,450,node1
151,artifact151,451,node1
152,artifact152,452,node1
153,artifact153,453,node1
154,artifact154,454,node1
155,artifact155,455,node1
156,artifact156,456,node1
157,artifact157,457,node1
158,artifact158,458,node1
159,artifact159,459,node1
160,artifact160,460,node1
161,artifact161,461,node1
162,artifact162,462,node1
163,artifact163,463,node1
164,artifact164,464,node1
165,artifact165,465,node1
166,artifact166,466,node1
167,artifact167,467,node1
168,artifact168,468,node1
169,artifact169,469,node1
170,artifact170,470,node1
171,artifact171,471,node1
172,artifact172,472,node1
173,artifact173,473,node1
174,artifact174,474,node1
175,artifact175,475,node1
176,artifact176,476,node1
177,artifact177,477,node1
178,artifact178,478,node1
179,artifact179,479,node1
